session_id,date,search,retrieval,retrieval_from_search,preview,preview_from_search,rs_ratio,add_to_my_list,email,print,export_easylib,
8158AECD673CA85FF56047C90BFC2DE7,2014-11-01,2,2,2,0,0,1.0,0,1,0,0,
A43EA2313AE0FD7547D9AB17AD5E0252,2014-11-01,4,5,5,0,0,1.25,0,0,2,0,
0FCD9FE7835F0A373B087708161E5657,2014-11-01,0,1,1,0,0,-1,0,0,1,0,
71EEC74EECEE25DBDA56FD050783ABE2,2014-11-01,0,1,1,0,0,-1,0,0,0,1,
0608F467D61933FDC486628B3B5FC7DB,2014-11-01,1,7,7,1,1,8.0,1,0,0,0,
299B9B8B6401E1B9A63459B7375F6618,2014-11-01,3,1,1,0,0,0.333333333333,0,0,0,3,
DF948AAD8C143AC16C1EFC2F5933D0EF,2014-11-01,1,7,7,7,7,14.0,5,1,0,0,
031095D85BDEEE88A3485529F55883CC,2014-11-01,4,3,3,0,0,0.75,0,0,2,0,
2C93FFAC3F5ED855E0C8B79402BD91BE,2014-11-01,1,4,4,1,1,5.0,0,0,1,0,
AB49D295B80623131E660C88EBD461EF,2014-11-01,1,2,2,1,1,3.0,0,0,0,1,
644EE867B68F0C1BE0109DF4F4E1762E,2014-11-01,1,4,4,0,0,4.0,0,1,0,0,
0DFDF984A11EB9E741EB6A65C075E408,2014-11-01,5,9,9,4,4,2.6,0,0,0,1,
16E29C60F02EEFF0E0A822C72CA31C3D,2014-11-01,14,8,8,0,0,0.571428571429,2,0,0,0,
2F4DD80D367042457F51CD431869F390,2014-11-01,4,6,6,0,0,1.5,2,0,0,0,
D59F4D815C844EA93AF6E7BE1D47CD64,2014-11-01,3,30,30,8,8,12.6666666667,0,0,8,0,
20FBA4C15983496F27246E5ADAAC7A41,2014-11-01,2,1,1,1,1,1.0,2,0,0,0,
C8BEFF15049240CB14CCDAF508F3618C,2014-11-01,11,12,12,2,2,1.27272727273,0,0,1,0,
B705BF17387FD60E3609EF0F4D015306,2014-11-01,0,1,1,0,0,-1,0,0,1,0,
E334B44B190F220BE98E5B40F9C4CCE7,2014-11-01,0,0,0,0,0,-1,0,0,0,1,
E653F3A2BB26FD3F68A9B2D23ABED1A0,2014-11-01,8,2,2,0,0,0.25,1,0,0,0,
E2B448021710D9D3E618C9185A9DF327,2014-11-01,3,10,10,1,1,3.66666666667,3,1,0,1,
7A98801BC00D0C551191885FDFF00FA6,2014-11-01,0,0,0,0,0,-1,0,1,0,0,
F0764D0A2FD49D96A2748259ED228FF1,2014-11-01,8,21,21,12,12,4.125,1,0,0,0,
3BAEDB03F713FB5498B3FD34F9AF704D,2014-11-01,0,0,0,0,0,-1,0,0,1,0,
21418212B0E3305056D008D6D69AE3D8,2014-11-01,5,2,2,0,0,0.4,0,0,0,3,
F40C17C2E3FD7EA575CFAFDF2238DF4D,2014-11-01,5,10,10,0,0,2.0,2,0,0,0,
0E04629F911855E533FC6ED8C7BFFF03,2014-11-01,3,17,17,5,5,7.33333333333,10,1,0,0,
6A745881738BCAFD33036C913FF4F95C,2014-11-01,2,2,2,0,0,1.0,0,0,1,0,
BAC2660FD85835DB748F98401F50C400,2014-11-01,9,7,7,2,2,1.0,0,0,5,1,
F7145F9975B1110ABC1BF1FF8804B33F,2014-11-01,3,5,5,0,0,1.66666666667,2,0,0,0,
645F603939E65ADAD11D115124D7D1A1,2014-11-01,1,1,1,0,0,1.0,2,1,0,0,
D9AFBF57CC9FF9ECED9AFD60D2CDC319,2014-11-01,6,8,8,3,3,1.83333333333,0,0,2,0,
51213ED08783E38B788651CF80AAFC2A,2014-11-01,16,16,16,4,4,1.25,0,0,6,0,
3D559340AE0E46862A169C662589900F,2014-11-01,0,1,1,0,0,-1,0,0,1,0,
B4D90D5D3B2BCC45DC917E0950B63CF8,2014-11-01,1,2,2,0,0,2.0,0,0,2,0,
8E71F9FB83A24A78F3C7AD71853523D6,2014-11-01,5,16,16,7,7,4.6,0,3,0,0,
F95CA0FF04FAA729D07DB891780E934F,2014-11-01,2,0,0,0,0,0.0,0,0,0,1,
01DD8A4AA01153B011A142F9C5C7E22E,2014-11-01,4,3,3,0,0,0.75,1,0,0,0,
35D0636C27591515E8E5FE69E36C0155,2014-11-01,6,27,27,3,3,5.0,0,0,2,0,
717FFC6BC7300FF5ADAA2455515C1D2C,2014-11-01,1,8,8,0,0,8.0,0,0,3,0,
ADA14710B1A656D8889510386643DAD9,2014-11-02,2,1,1,0,0,0.5,1,0,0,0,
E24A10FF055BF3F472B83966603E51D1,2014-11-02,4,6,6,2,2,2.0,0,0,0,3,
9A99643EE602407974DF9DBD45D0AC54,2014-11-02,1,3,3,1,1,4.0,0,0,2,0,
134AEE2687AA752EAB83B2D1C9368108,2014-11-02,13,11,11,3,3,1.07692307692,10,0,0,0,
40CF2A5F3BA46D7EEB92BA7279D7B80D,2014-11-02,2,3,3,0,0,1.5,0,3,0,0,
094E578A840B9D3D9F9BCEB8E9BF549B,2014-11-02,7,6,6,0,0,0.857142857143,0,0,1,0,
01BB919B6C58EA63F27C04902366028A,2014-11-02,2,4,4,1,1,2.5,0,0,2,0,
B1B5658764220670D8E2BDE0A51C1C10,2014-11-02,1,1,1,0,0,1.0,1,0,0,0,
BEF0EAC386474BD4A606437BB81305B2,2014-11-02,8,1,1,0,0,0.125,1,0,0,0,
D044068673D8A34C8A57B1F900155FE9,2014-11-02,1,2,2,0,0,2.0,1,0,1,0,
4A448E30A000959D9B337D424B3D1278,2014-11-02,0,0,0,0,0,-1,0,0,1,0,
0513B47542507F6A27F5BC5DB2CFDD19,2014-11-02,2,2,2,0,0,1.0,0,1,0,0,
7193106EBC1D3F5CF8F96CA1A14F3409,2014-11-02,3,2,2,0,0,0.666666666667,0,1,0,0,
B356572D557BF47F4BD7526826B9C89B,2014-11-02,0,0,0,0,0,-1,0,0,1,0,
6CC2A125A68AC0F6193A25B00BC44D4F,2014-11-02,4,17,17,15,15,8.0,1,0,0,0,
B8C28BEC946AE163ECD924D2A5840350,2014-11-02,1,1,1,0,0,1.0,0,1,0,0,
C67F522A57BC82BB7095F13AC76E9621,2014-11-02,8,6,6,1,1,0.875,0,0,3,0,
F27CF7D1ADE607F1280E55A3BC7871C0,2014-11-02,6,8,8,1,1,1.5,1,0,1,0,
028FC8F79ED3039D56D6024C0D62CBFD,2014-11-02,3,2,2,0,0,0.666666666667,0,1,1,0,
E96F75A54E35FD2F179805780AE2E7C3,2014-11-02,1,7,7,0,0,7.0,3,0,0,0,
36096140049EDE5462600D634F78BB97,2014-11-02,7,2,2,0,0,0.285714285714,1,0,1,0,
25C7393AFD1E18B8DE3FB1E4D151EC10,2014-11-02,0,2,2,0,0,-1,1,0,0,0,
1E19A0CEC98D70B6DC03418EFA472368,2014-11-02,3,7,7,0,0,2.33333333333,0,2,0,0,
2D8A72383E7AD48A2CDAAAE9C992E50B,2014-11-02,8,8,8,0,0,1.0,0,0,2,2,
4B017072274F827A943F247B69FCBCB8,2014-11-02,5,4,4,0,0,0.8,0,2,0,0,
8397C544E7AA04F792983424563BBC03,2014-11-02,9,6,6,0,0,0.666666666667,0,0,2,0,
9FAF185480FA26A5FDE312E14D777680,2014-11-02,1,5,5,0,0,5.0,0,0,2,0,
1FD0BCE5983EFCC3FE9D2B1A5752C99A,2014-11-02,16,10,10,1,1,0.6875,0,0,1,1,
37E9536955E95D7B610045D9B4C41C91,2014-11-02,1,3,3,0,0,3.0,0,0,3,0,
D9463FB43857A3C6C6320CDB7A4D16DD,2014-11-02,1,2,2,0,0,2.0,1,0,0,0,
4B231523996C5C58BF3F22990EE6427D,2014-11-02,2,2,2,0,0,1.0,0,0,0,1,
B50C92E64BA7170B2F7D2AC844BB7645,2014-11-02,4,4,4,0,0,1.0,4,0,0,0,
62F371F1754F5D65DF1E5084187E67B7,2014-11-02,11,7,7,0,0,0.636363636364,4,0,0,0,
4AA0D2F1CF6AA4B18DECB814598016AA,2014-11-02,4,3,3,0,0,0.75,2,0,0,0,
91ACCB000669CAAB625D8751FC516DF5,2014-11-02,0,0,0,0,0,-1,0,0,0,1,
2459BA152B8DAAD8D2BD1FC2DE1C5FF1,2014-11-02,0,0,0,0,0,-1,0,0,1,0,
AF0EDF600A7CEEC7C93FE3B314EA7576,2014-11-02,1,6,6,0,0,6.0,4,0,0,0,
22C3DAE52B2B8EDBB8C42F6863191D19,2014-11-02,1,1,1,0,0,1.0,0,0,3,0,
B13676E8074FCB8F3D027084205703CB,2014-11-02,0,0,0,0,0,-1,0,0,1,0,
5896E209A2F0B1331C74B65B0E817B66,2014-11-02,1,3,3,1,1,4.0,16,1,0,0,
33B2FD0DADED461F566B2E4B27DF5616,2014-11-02,7,10,10,2,2,1.71428571429,1,0,0,0,
5BA247A859672B53A90B75E25E3B304D,2014-11-02,1,8,8,1,1,9.0,0,2,0,0,
