Month,Weekday,Date, Expand_Button_Click(E), Research_Topic_Show(R), Search_Count(S), Advance_Search_Count(A), Core_Correalation_Click, Exit_Button_Click, Educator_Tool_Click, My_List_Click, Bookcarts_Click, Slideshows_Click, Timelines_Click, Quizzes_Click, R/S, E/R, A/S
October,Mon,13-10-14,848,6510,24682,2496,89,166,9,307,75,20,33,20,0.264,0.13,0.101
October,Tue,13-10-15,1215,7338,31818,2662,162,296,19,388,284,21,34,43,0.231,0.166,0.084
October,Wed,13-10-16,1176,7048,31784,2663,113,156,8,232,376,13,26,23,0.222,0.167,0.084
October,Thu,13-10-17,1089,8157,31503,2694,124,210,7,300,192,23,22,30,0.259,0.134,0.086
October,Fri,13-10-18,884,5705,23719,2459,100,168,7,204,96,7,25,24,0.241,0.155,0.104
October,Mon,13-10-21,998,7585,30329,3658,124,188,5,300,368,34,24,27,0.25,0.132,0.121
October,Tue,13-10-22,1873,9138,36725,3833,134,257,17,417,129,34,36,33,0.249,0.205,0.104
October,Wed,13-10-23,1558,8734,36450,3888,176,259,7,407,107,19,15,44,0.24,0.178,0.107
October,Thu,13-10-24,1438,8855,36621,3091,139,204,13,540,933,23,52,52,0.242,0.162,0.084
October,Fri,13-10-25,919,5949,25202,2085,101,133,3,298,94,24,29,39,0.236,0.154,0.083
October,Mon,13-10-28,1543,8685,33343,3338,121,191,12,542,364,12,11,19,0.26,0.178,0.1
October,Tue,13-10-29,1250,8926,34033,2919,120,174,7,465,548,25,20,24,0.262,0.14,0.086
October,Wed,13-10-30,1353,8728,41522,3426,147,262,12,719,296,32,28,29,0.21,0.155,0.083
October,Thu,13-10-31,1090,7216,30108,2231,94,202,5,720,519,23,18,25,0.24,0.151,0.074
November,Fri,13-11-01,1006,4988,22481,1910,95,123,16,438,75,16,24,15,0.222,0.202,0.085
November,Mon,13-11-04,1475,8207,36975,3570,129,241,6,595,136,47,47,19,0.222,0.18,0.097
November,Tue,13-11-05,1763,9475,37558,2662,190,232,5,497,263,42,48,75,0.252,0.186,0.071
November,Wed,13-11-06,1458,8832,36917,3316,128,207,5,579,768,26,29,36,0.239,0.165,0.09
November,Thu,13-11-07,1541,8778,37128,3069,149,241,8,446,408,17,26,16,0.236,0.176,0.083
November,Fri,13-11-08,761,5771,24209,1990,113,111,6,309,110,26,11,18,0.238,0.132,0.082
November,Mon,13-11-11,869,5291,22651,2552,225,147,5,259,76,16,27,30,0.234,0.164,0.113
November,Tue,13-11-12,1281,9152,37720,3444,117,240,11,316,124,27,48,67,0.243,0.14,0.091
November,Wed,13-11-13,1532,9491,40327,3757,116,196,6,391,139,19,23,19,0.235,0.161,0.093
November,Thu,13-11-14,1461,9308,38947,2881,119,199,12,430,426,33,40,28,0.239,0.157,0.074
November,Fri,13-11-15,1472,7690,29320,1993,90,159,7,491,410,22,19,43,0.262,0.191,0.068
November,Mon,13-11-18,1361,8294,35855,4045,132,244,7,534,179,29,28,25,0.231,0.164,0.113
November,Tue,13-11-19,1509,9864,39429,3971,156,228,7,424,332,28,37,93,0.25,0.153,0.101
November,Wed,13-11-20,1178,9275,36965,3684,129,179,21,477,166,23,20,25,0.251,0.127,0.1
November,Thu,13-11-21,1052,7892,35870,3578,118,185,15,351,142,27,16,9,0.22,0.133,0.1
November,Fri,13-11-22,856,6132,26346,2187,94,134,5,294,394,13,18,21,0.233,0.14,0.083
November,Mon,13-11-25,1423,7825,31071,3872,91,136,3,315,75,28,20,21,0.252,0.182,0.125
November,Tue,13-11-26,1625,8078,26768,2815,92,132,6,229,46,11,33,37,0.302,0.201,0.105
November,Wed,13-11-27,309,2335,12056,1465,61,87,3,106,36,12,10,12,0.194,0.132,0.122
November,Thu,13-11-28,93,725,3777,365,13,52,1,47,19,4,3,1,0.192,0.128,0.097
November,Fri,13-11-29,104,929,4883,567,32,45,2,47,46,1,3,1,0.19,0.112,0.116
December,Mon,13-12-02,946,7089,29164,3162,96,151,4,767,103,32,22,14,0.243,0.133,0.108
December,Tue,13-12-03,1305,8163,33304,3434,100,193,11,412,112,23,17,19,0.245,0.16,0.103
December,Wed,13-12-04,1472,8085,34887,2737,137,196,3,563,118,9,23,11,0.232,0.182,0.078
December,Thu,13-12-05,1147,8169,35189,3241,94,204,6,514,83,21,18,19,0.232,0.14,0.092
December,Fri,13-12-06,1027,5988,26032,1948,87,107,2,626,45,8,22,8,0.23,0.172,0.075
December,Mon,13-12-09,1076,6325,27492,2174,61,187,6,311,73,14,14,8,0.23,0.17,0.079
December,Tue,13-12-10,898,6057,26249,2292,105,148,2,276,82,23,13,18,0.231,0.148,0.087
December,Wed,13-12-11,1169,6835,30105,2010,60,139,7,528,68,8,4,11,0.227,0.171,0.067
December,Thu,13-12-12,1127,7216,29687,1789,91,150,2,437,241,14,8,15,0.243,0.156,0.06
December,Fri,13-12-13,1115,5259,22049,1466,66,118,4,321,232,16,22,6,0.239,0.212,0.066
December,Mon,13-12-16,1102,6219,24984,1738,66,115,1,274,230,12,51,12,0.249,0.177,0.07
December,Tue,13-12-17,800,5762,23161,1730,100,167,4,331,130,24,32,23,0.249,0.139,0.075
December,Wed,13-12-18,674,4548,22110,1461,63,110,4,258,160,31,8,8,0.206,0.148,0.066
December,Thu,13-12-19,651,4332,18791,1074,71,97,5,174,25,7,18,3,0.231,0.15,0.057
December,Fri,13-12-20,330,2041,9097,613,35,62,2,81,11,5,6,4,0.224,0.162,0.067
December,Mon,13-12-23,19,311,1622,272,11,28,0,11,1,5,4,0,0.192,0.061,0.168
December,Tue,13-12-24,6,132,801,150,3,13,0,9,0,0,0,0,0.165,0.045,0.187
December,Wed,13-12-25,4,142,764,128,6,30,0,26,10,2,1,0,0.186,0.028,0.168
December,Thu,13-12-26,27,243,1532,291,14,30,0,74,7,10,1,3,0.159,0.111,0.19
December,Fri,13-12-27,35,281,1699,293,16,30,1,104,6,6,6,4,0.165,0.125,0.172
December,Mon,13-12-30,64,462,2632,285,32,53,5,45,8,8,3,2,0.176,0.139,0.108
December,Tue,13-12-31,38,339,1851,216,16,30,0,19,2,1,0,1,0.183,0.112,0.117
January,Wed,14-01-01,107,651,3043,327,14,33,1,36,12,2,1,0,0.214,0.164,0.107
January,Thu,14-01-02,279,1563,7911,625,20,62,0,131,9,1,4,4,0.198,0.179,0.079
January,Fri,14-01-03,126,857,4237,500,19,23,0,147,19,2,7,2,0.202,0.147,0.118
January,Mon,14-01-06,355,2822,12316,985,41,103,1,135,52,10,9,9,0.229,0.126,0.08
January,Tue,14-01-07,669,3643,14888,1430,78,99,2,265,230,5,7,7,0.245,0.184,0.096
January,Wed,14-01-08,725,5016,21433,2147,76,138,8,277,184,10,15,19,0.234,0.145,0.1
January,Thu,14-01-09,970,6810,26660,2676,100,269,7,502,344,32,25,16,0.255,0.142,0.1
January,Fri,14-01-10,860,5554,21563,1411,78,162,2,484,417,10,9,7,0.258,0.155,0.065
January,Mon,14-01-13,1189,8155,31630,2604,95,191,5,719,250,12,21,27,0.258,0.146,0.082
January,Tue,14-01-14,1130,8567,35743,2422,112,258,4,475,351,16,16,16,0.24,0.132,0.068
January,Wed,14-01-15,1167,7264,29905,2245,98,202,3,291,281,17,51,15,0.243,0.161,0.075
January,Thu,14-01-16,1122,7646,28377,2411,104,158,6,360,230,25,26,15,0.269,0.147,0.085
January,Fri,14-01-17,1149,6667,22499,1511,96,124,1,223,74,18,19,16,0.296,0.172,0.067
January,Mon,14-01-20,454,2379,11154,933,50,64,3,201,26,3,15,12,0.213,0.191,0.084
January,Tue,14-01-21,1053,6973,24808,1833,108,148,4,400,100,16,25,51,0.281,0.151,0.074
January,Wed,14-01-22,849,6168,23551,1788,71,125,9,277,71,17,13,12,0.262,0.138,0.076
January,Thu,14-01-23,887,6252,25690,1621,102,169,8,265,60,12,35,9,0.243,0.142,0.063
