Data, Search from Specific Time Period, Tag Search
14-02-25, 96, 36
14-02-26, 95, 53
14-02-27, 99, 34
14-02-28, 182, 82
14-03-01, 24, 4
14-03-02, 47, 8
14-03-03, 80, 5
14-03-04, 71, 51
14-03-05, 90, 24
14-03-06, 92, 18
14-03-07, 67, 35
14-03-08, 47, 5
14-03-09, 53, 20
14-03-10, 98, 21
14-03-11, 95, 56
14-03-12, 88, 39
